Microsoft Windows [Versión 10.0.19045.5011]
(c) Microsoft Corporation. Todos los derechos reservados.

C:\Users\iramb>mysqlsh
MySQL Shell 8.0.38

Copyright (c) 2016, 2024, Oracle and/or its affiliates.
Oracle is a registered trademark of Oracle Corporation and/or its affiliates.
Other names may be trademarks of their respective owners.

Type '\help' or '\?' for help; '\quit' to exit.
 MySQL  JS > \sql
Switching to SQL mode... Commands end with ;
 MySQL  SQL > \connect --mc root@localhost
Creating a Classic session to 'root@localhost'
Fetching global names for auto-completion... Press ^C to stop.
Your MySQL connection id is 62
Server version: 8.0.39 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:3306 ssl  SQL > use sakila
Default schema set to `sakila`.
Fetching global names, object names from `sakila` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  sakila  SQL > SELECT a.customer_id, a.first_name, a.last_name, b.amount FROM customer a
                                       -> INNER JOIN payment b on a.customer_id = b.customer_id;
+-------------+------------+-----------+--------+
| customer_id | first_name | last_name | amount |
+-------------+------------+-----------+--------+
|           1 | MARY       | SMITH     |   2.99 |
|           1 | MARY       | SMITH     |   0.99 |
|           1 | MARY       | SMITH     |   5.99 |
|           1 | MARY       | SMITH     |   0.99 |
|           1 | MARY       | SMITH     |   9.99 |
|           1 | MARY       | SMITH     |   4.99 |
|           1 | MARY       | SMITH     |   4.99 |
|           1 | MARY       | SMITH     |   0.99 |
|           1 | MARY       | SMITH     |   3.99 |
|           1 | MARY       | SMITH     |   5.99 |
|           1 | MARY       | SMITH     |   5.99 |
|           1 | MARY       | SMITH     |   4.99 |
|           1 | MARY       | SMITH     |   4.99 |
|           1 | MARY       | SMITH     |   7.99 |
|           1 | MARY       | SMITH     |   2.99 |
|           1 | MARY       | SMITH     |   4.99 |
|           1 | MARY       | SMITH     |   4.99 |
|           1 | MARY       | SMITH     |   0.99 |
|           1 | MARY       | SMITH     |   0.99 |
|           1 | MARY       | SMITH     |   2.99 |
|           1 | MARY       | SMITH     |   2.99 |
|           1 | MARY       | SMITH     |   4.99 |
|           1 | MARY       | SMITH     |   3.99 |
|           1 | MARY       | SMITH     |   0.99 |
|           1 | MARY       | SMITH     |   4.99 |
|           1 | MARY       | SMITH     |   0.99 |
|           1 | MARY       | SMITH     |   0.99 |
|           1 | MARY       | SMITH     |   2.99 |
|           1 | MARY       | SMITH     |   0.99 |
|           1 | MARY       | SMITH     |   1.99 |
|           1 | MARY       | SMITH     |   2.99 |
|           1 | MARY       | SMITH     |   5.99 |
|           2 | PATRICIA   | JOHNSON   |   4.99 |
|           2 | PATRICIA   | JOHNSON   |   2.99 |
|           2 | PATRICIA   | JOHNSON   |   2.99 |
|           2 | PATRICIA   | JOHNSON   |   6.99 |
|           2 | PATRICIA   | JOHNSON   |   4.99 |
|           2 | PATRICIA   | JOHNSON   |   5.99 |
|           2 | PATRICIA   | JOHNSON   |   5.99 |
|           2 | PATRICIA   | JOHNSON   |   5.99 |
|           2 | PATRICIA   | JOHNSON   |   2.99 |
|           2 | PATRICIA   | JOHNSON   |   5.99 |
|           2 | PATRICIA   | JOHNSON   |   4.99 |
|           2 | PATRICIA   | JOHNSON   |  10.99 |
|           2 | PATRICIA   | JOHNSON   |   0.99 |
|           2 | PATRICIA   | JOHNSON   |   6.99 |
|           2 | PATRICIA   | JOHNSON   |   6.99 |
|           2 | PATRICIA   | JOHNSON   |   2.99 |
|           2 | PATRICIA   | JOHNSON   |   0.99 |
|           2 | PATRICIA   | JOHNSON   |   0.99 |
|           2 | PATRICIA   | JOHNSON   |   5.99 |
|           2 | PATRICIA   | JOHNSON   |   6.99 |
|           2 | PATRICIA   | JOHNSON   |   2.99 |
|           2 | PATRICIA   | JOHNSON   |   2.99 |
|           2 | PATRICIA   | JOHNSON   |   2.99 |
|           2 | PATRICIA   | JOHNSON   |   4.99 |
|           2 | PATRICIA   | JOHNSON   |   5.99 |
|           2 | PATRICIA   | JOHNSON   |   4.99 |
|           2 | PATRICIA   | JOHNSON   |   4.99 |
|           3 | LINDA      | WILLIAMS  |   1.99 |
|           3 | LINDA      | WILLIAMS  |   2.99 |
|           3 | LINDA      | WILLIAMS  |   8.99 |
|           3 | LINDA      | WILLIAMS  |   6.99 |
|           3 | LINDA      | WILLIAMS  |   6.99 |
|           3 | LINDA      | WILLIAMS  |   2.99 |
|           3 | LINDA      | WILLIAMS  |   4.99 |
|           3 | LINDA      | WILLIAMS  |   4.99 |
|           3 | LINDA      | WILLIAMS  |   5.99 |
|           3 | LINDA      | WILLIAMS  |  10.99 |
|           3 | LINDA      | WILLIAMS  |   7.99 |
|           3 | LINDA      | WILLIAMS  |   6.99 |
|           3 | LINDA      | WILLIAMS  |   4.99 |
|           3 | LINDA      | WILLIAMS  |   4.99 |
|           3 | LINDA      | WILLIAMS  |   2.99 |
|           3 | LINDA      | WILLIAMS  |   1.99 |
